997011533549105171 LDR   00000npc#a22######a#4500
997011533549105171 001   997011533549105171
997011533549105171 008   ######k19482020###xx######################d
997011533549105171 040   $$bheb$$erda
997011533549105171 044   $$axx#
997011533549105171 093   $$cPSiDu$$dארכיון סילביה דוראן$$eSilvia Duran Archive
997011533549105171 1001  $$aדוראן, סילביה$$9heb$$e(יוצר הארכיון)
997011533549105171 24510 $$aארכיון סילביה דוראן
997011533549105171 2463  $$iEnglish title: $$aSilvia Duran Archive
997011533549105171 260   $$g1948-2020$$c1948-2020
997011533549105171 300   $$a22$$fמיכלים
997011533549105171 337   $$acomputer$$bc$$2rdamedia
997011533549105171 338   $$aonline resource$$bcr$$2rdacarrier
997011533549105171 351   $$cFonds Record
997011533549105171 500   $$aהיסטוריה ארכיונית: חומרי ארכיון סילביה דוראן נאספו ונשמרו על ידי סילביה דוראן לאורך פעילותה המקצועית, בין השנים 1958-2020. במהלך צבירתם, חלק מחומרי הארכיון נשמרו באלבומים ובקלסרים ואחרים בתפזורת. בתקופה זו הופקו רשימות מצאי ותוכן עבור תצלומים, דיסקים וקלטות, בוצעה המרה לפורמט דיגיטלי של חלק מהחומרים האנלוגיים וכן רוכזו חומרים לצורך העלאתם לאתר האינטרנט של דוראן, אך לא הופקו לארכיון עזרי איתור או קטלוג. בין השנים 2022-2021 הארכיון סודר, נרשם והומר למדיה דיגיטלית במסגרת פרויקט 'האוסף הלאומי הדיגיטלי: אדריכלות, מחול, עיצוב ותיאטרון' שנוהל על ידי הספרייה הלאומית. במסגרת הטיפול בארכיון, הוא חולק לשש חטיבות על פי סוג החומרים: תצלומים, מסמכים, חולפות, עיתונות, וידאו ואודיו. החלוקה לסדרות ותתי סדרות תחת החטיבות נעשתה בעיקר על פי מקום ומסגרת הפעילות בה נוצרו החומרים, כמו גם ייעודם. הארכיון נרשם ונסרק באופן מקיף, למעט העתקים, מדיה פגומה וכן מסמכים ותצלומים בהם קיים חשש לפגיעה בצנעת הפרט, שנרשמו באופן בסיסי ולא נשלחו לסריקה. עבודת הרישום הניבה רשימת פרויקטים מפורטת ורשימת מוסדות ואישים שעבדו ביחד עם סילביה דוראן
997011533549105171 500   $$aסוג האוסף: ארכיון אישי
